30	so there's this fantastic Wikipedia list 0
2939	descriptively titled Wikipedia : unusual 0
5430	articles I just remembered as that 0
7440	Wikipedia list it's a collection of 0
9540	hundreds of articles about unusual 0
11280	unexpected and unbelievable subjects no 0
14519	matter what link you click it's bound to 0
16440	be interesting for that reason every 0
18600	week I'm going to click on a new link 0
20130	and teach you a little bit more about 0
21810	our amazing world maps are very hard to 0
26580	make to create a map from scratch 1s two 0
29609	years of fieldwork er analyzation of 0
31619	satellite photos so plagiarism has 0
33870	always been rampant among map makers 0
36649	it's pretty easy just to redraw the same 0
39629	geographical features from one map on to 0
42059	a new map and it's hard to get caught 0
43710	you are after all drawing the exact same 0
46469	world so map makers came up with a way 0
48960	to catch individuals stealing their data 0
52180	this is Argyll tynin West Lancashire 0
54610	England according to a 2009 screenshot 0
58210	of Google Maps Argyll tin is a town it's 0
60940	supposedly located between autumn to the 0
63160	south and Ormskirk to the north the 0
65920	problem is if you go to this site this 0
68410	is what you find the Argyll tenue 0
72990	paper towns are fake places that are put 0
76090	on maps as copyright traps a map maker 0
79300	can make up a place and if they see that 0
81580	a competing map maker also has that town 0
84010	on their maps they know that at one 0
85810	point the competitor plagiarized their 0
87970	info so in Argyll Tain's case the town 0
90700	probably wasn't placed there by Google 0
92500	Google gets their data from tella Atlas 0
95050	who sources their data from other 0
97000	mapping companies who in turn get some 0
99369	of their data from other mapping 0
100690	companies somewhere down the line 0
102640	someone must have place Argyll tanaan 0
104979	the map as a trap and its presence on 0
107380	Google Maps was just a remnant of that 0
109590	after the fake town gained widespread 0
112210	media attention who were removed it from 0
114640	their map and it has since been replaced 0
116470	with a marker designating the spot as a 0
118780	ghost town there are hundreds of other 0
121930	examples of Paper Towns in New York a 0
124630	spot north of Roscoe New York was marked 0
127210	as the town of aglow by the general 0
129220	drafting company in 1930 the name came 0
132040	from an anagram of the cartographers 0
133750	initials and appeared on numerous maps 0
135910	since its conception in the 1960s a glow 0
139570	showed up on a Ranma Canali map of the 0
141340	region and thinking they had fallen into 0
143500	their trap 0
144070	Esso who had bought the map from the 0
146260	general drafting company threatened to 0
148180	sue McNally the suit was dropped though 0
151000	when Rand McNally pointing that aglow 0
153010	had actually become a real place 0
155070	sometime in the 1950s locals opened up a 0
158320	general store north of Roscoe New York 0
160570	and after looking at an Esso map of the 0
162730	region decided to call their store the 0
164799	aglow general store there for making a 0
167530	glow an official place the store 0
170320	eventually went out of business and the 0
171820	town is censuses appear for most Maps 0
173590	but this is one instance where a fake 0
175810	town 0
176620	real a similar idea of Paper Towns has 0
179440	been used in other domains in 2001 the 0
183129	word equivalents appeared in the New 0
185230	Oxford American Dictionary defined as 0
187780	the willful avoidance of one's official 0
190360	responsibilities that word was made up 0
193239	as a copyright trap and it actually 0
195459	worked 0
196060	dictionary.com and gules dictionary both 0
199030	added a listing for the word equivalents 0
201159	possibly proving a level of plagiarism 0
203440	among the online dictionaries 0
207120	occasionally unintentional traps are 0
209799	created that prove effective before they 0
212379	created Apple Maps Apple was making maps 0
215019	on a much smaller scale for iPhoto these 0
217810	maps had no attributions and therefore 0
219819	no one could be sure where their data 0
221470	was from but there were some obvious 0
223540	clues this screenshot of Apple's map of 0
226540	Norwich shows an area of disorganized 0
228400	roads in the Northeast if you look at 0
231430	the OpenStreetMap map of the area you 0
233799	can see that these rows are actually 0
235359	trails in a park overlaying the Apple 0
238060	map over the OSM map of the area you can 0
240549	see how perfectly the suppose it road 0
242440	and trails line up you can assume from 0
245200	this that Apple took their map data from 0
247120	Open Street Map and mistook the trails 0
249310	for roads a few months after the release 0
252090	Apple officially credit Open Street Map 0
254620	for their contributions to the maps 0
256630	confirming that they use OSM's data 0
260399	so those are Paper Towns I hope you 0
263010	enjoyed this week's episode I'll be back 0
264750	next week to bring you more from that 0
266580	Wikipedia list 0
