359	thank you the group Renault for
1469	sponsoring this video at CES 2018 check
3659	out their symbiotes concept car in the
5250	description down below
6629	we're here at table pong they have these
9059	Atari pong tables for $2,800 they've got
12030	these chairs for 250 bucks it can
14190	display the time or the scoreboard on
15870	the table it has RGB lighting but who
17460	cares let's let's just play that's kind
19619	of all doing okay two-player mode then
22680	you have to tap an orange button so that
24510	you lock in your number here okay so I
28109	serve that's what I mean have you tried
29730	this already I have okay give me okay
32149	okay so three three three two one play
43950	against the AI press press one player
50239	does this work
52219	hold on what's in it so let's go man
64080	that's how it used to be let's see if
66900	you can beat me I'm gonna pretend I'm
68640	playing your control level is pretty
72110	you got to spin a lot it's realistic
74180	though who's gonna be some real if
75800	you're on the wrong side and you need to
77360	get over you have to go really fast
78700	[Music]
101170	oh I'm good computer play yeah yeah how
104500	you like that how you like that no wow
118300	that's right that's right baby no no so
122740	you kids today you want to play your
124119	your digital game maybe you have an
126310	advantage like analog games
138200	[Music]
157160	[Applause]
158470	[Music]
164659	what you know I'm taking it twice
170470	oh okay okay now let's not even against
176020	the thing tell you what why don't you
177640	play the game
182920	[Music]
192610	that's pretty close that was pretty
195050	close good job good job all right
199490	thanks for grouper known for sponsoring
201050	this video check of the symbiotes car in
202730	the concept in the description down
204350	below
204800	lioness rode in it in France with a
206630	laptop in the front seat yeah it's like
209180	seriously cool I was wearing a VR
210980	headset at one point in the sensors of
212720	the car we tied into the headset so that
215900	I would see like virtual representations
218870	of cars and objects around me as like
221630	flocks of birds going past while he's
224060	driving down the road because it's level
225620	4 autonomous so it completely drives
227330	itself yeah it was one of the weirdest
229610	experiences of my life just like taking
231470	my hands off the wheel so guys if you
233510	want to see group rhinos vision of the
235700	future of autonomous driving you can
237200	check out that video on the link below
238790	rematch
239930	sure this is freaky this is very feisty
243610	$2,800 I think and then 250 bucks if you
246830	want the two chairs yes which you should
249890	probably give the two chairs because
250790	it's a little low and these are the
252170	perfect height for it anyways thanks for
254030	watching like it if you liked it dislike
255290	if you disliked it get subscribed to see
257238	no more CES content because this is it
259488	I'll see you later
262650	[Music]
275200	but
276430	[Music]
284620	[Music]
290090	whoa
