0	hello I'm Sam this is my channel this is 0
3570	that Wikipedia list and this is that 0
6029	Wikipedia list 0
17240	you can't copy money I don't mean it's 0
20279	illegal 0
20789	that's obvious I mean that you 0
22140	physically cannot copy money on a 0
24300	photocopier this is probably the only 0
26849	thing in the world that your copier will 0
29070	simply refuse to copy with pretty much 0
31619	any modern copier an error message will 0
33960	come up if you put a bank note or 0
35579	something resembling a bank note in the 0
37320	scanner I tell you to try it but there 0
39540	are so many laws surrounding currency 0
41129	that I'm pretty sure I'd have the police 0
42690	kicking down my door tomorrow if I did 0
44430	you can just take my word for it it's 0
46739	pretty interesting how money is detected 0
48570	by photo copiers for almost any major 0
51300	currency there's one symbol that tells 0
53730	machines that what they're seeing is 0
55440	money it's called the Orion 0
57059	constellation and it looks like this it 0
59879	was first discovered on the 10 euro note 0
61829	in this cluster of circles but has since 0
63989	been found on the American dollar the 0
66600	Swedish Krona the UK pound and pretty 0
70170	much every other major currency most 0
72780	photo copiers will if they see this 0
74640	pattern of dots stop printing in an 0
77009	attempt to stop counterfeit at least 0
79439	that's how it used to be more recently 0
81900	copiers have moved to a system called 0
83939	the counterfeit deterrent system which 0
85860	is incredibly secretive and effective 0
88409	nobody is really sure how it works 0
90570	and while the Euro Ryan constellation 0
92280	might be part of it these security 0
94110	measures make it even more difficult to 0
96090	copy banknotes Adobe Photoshop like most 0
99000	photo editing software's has the 0
100680	counterfeit deterrent system built-in 0
102479	which lets you see just how well it 0
104460	works Photoshop can of course detect 0
106740	this image of a ten-pound note since 0
108450	it's you Ryan constellations are clearly 0
110520	visible but then it can also detect it 0
112770	if the area is blacked out it can even 0
115170	figure out that this tiny almost 0
116790	completely blacked out image is part of 0
119100	a u.s. $20 bill and refuse to edit it 0
121950	there's a ton of different laws relating 0
124409	to the duplication and publication of 0
126509	visuals of currency the US has 32 pages 0
130169	of laws related to currency along with 0
132900	the obvious 0
133860	of counterfeit it's also illegal in the 0
136320	u.s. to print or publish any 0
138060	illustration of currency postage stamps 0
140670	or revenue stamps of any nation in the 0
142770	world unless of course it's a stamp made 0
145350	under the migratory bird hunting Stamp 0
147360	Act of 1934 and no that's not a joke 0
150990	it's also illegal to deface currency in 0
153720	any way or to use the image of currency 0
155940	in any advertisement it is however legal 0
158910	to show authentic banknotes in videos 0
161160	and films for this reason in most cases 0
164280	the money used in movies is real - 0
167130	legally create prop money the bill has 0
169380	to be less than 75 percent or more than 0
171750	150 percent of the size of authentic 0
174390	currency one-sided and must be destroyed 0
177239	immediately after use unless they want 0
179820	to do something that's illegal with 0
180959	money like Burnet or otherwise to face 0
183030	it filmmakers will often use real money 0
185010	just for simplicity sake some prop 0
187320	manufacturers will create a stack of 0
189000	blank green paper then top it with one 0
191340	real bill to give the appearance of 0
193350	stacks of currency in conclusion don't 0
196530	mess around with counterfeit it will 0
198180	almost never end well thank you for 0
200760	watching sorry for the short episode but 0
202890	I wanted to get something out this week 0
204480	right now I'm working on three or four 0
206580	videos that I'm very excited about to be 0
208620	released in the coming weeks and months 0
209910	so make sure to click Subscribe to catch 0
212070	those you can also follow me on twitter 0
214110	at Wendover pro for updates along the 0
216390	way 0
